evt_id,evt_time,evt_duration,evt_frame_url,evt_video_url,evt_type,evt_desc,evt_fix_desc
EV-20240501-001,2024-05-01 08:15:23,45,http://storage.example.com/frames/001.jpg,http://storage.example.com/videos/20240501_081523.mp4,人员闯入,围栏东侧有1名未授权人员翻越,经核实为维修人员未佩戴标识
EV-20240501-002,2024-05-01 09:30:12,120,http://storage.example.com/frames/002.jpg,http://storage.example.com/videos/20240501_093012.mp4,物品遗留,大厅沙发遗留黑色背包,包内为笔记本电脑，已联系失主
EV-20240501-003,2024-05-01 10:05:47,30,http://storage.example.com/frames/003.jpg,http://storage.example.com/videos/20240501_100547.mp4,安全违规,操作员未戴护目镜切割金属,已现场纠正并记录
EV-20240501-004,2024-05-01 11:20:33,180,http://storage.example.com/frames/004.jpg,http://storage.example.com/videos/20240501_112033.mp4,车辆违规,车牌A12345在消防通道停车,车主为访客，已移车教育
EV-20240501-005,2024-05-01 13:45:08,60,http://storage.example.com/frames/005.jpg,http://storage.example.com/videos/20240501_134508.mp4,设备异常,3号电梯门反复开合,传感器故障，已停用报修
EV-20240501-006,2024-05-01 14:10:55,90,http://storage.example.com/frames/006.jpg,http://storage.example.com/videos/20240501_141055.mp4,火灾隐患,仓库发现烟头,系保洁人员违规吸烟
EV-20240501-007,2024-05-01 15:30:41,150,http://storage.example.com/frames/007.jpg,http://storage.example.com/videos/20240501_153041.mp4,人员聚集,南门5人争执推搡,促销活动排队纠纷
EV-20240501-008,2024-05-01 16:45:22,40,http://storage.example.com/frames/008.jpg,http://storage.example.com/videos/20240501_164522.mp4,动物闯入,野猫进入配电房,已驱离并封堵漏洞
EV-20240501-009,2024-05-01 17:20:17,300,http://storage.example.com/frames/009.jpg,http://storage.example.com/videos/20240501_172017.mp4,系统告警,门禁系统频繁误报,电源电压不稳导致
EV-20240501-010,2024-05-01 18:05:44,75,http://storage.example.com/frames/010.jpg,http://storage.example.com/videos/20240501_180544.mp4,照明故障,B区走廊灯常亮,感应器灵敏度需调整
EV-20240501-011,2024-05-01 19:00:44,41,http://storage.example.com/frames/011.jpg,http://storage.example.com/videos/20240501_000011.mp4,人员闯入,围栏东侧有1名未授权人员翻越,经核实为维修人员未佩戴标识
EV-20240501-012,2024-05-01 19:05:44,42,http://storage.example.com/frames/012.jpg,http://storage.example.com/videos/20240501_000012.mp4,物品遗留,大厅沙发遗留黑色背包,包内为笔记本电脑，已联系失主
EV-20240501-013,2024-05-01 19:10:44,43,http://storage.example.com/frames/013.jpg,http://storage.example.com/videos/20240501_000013.mp4,安全违规,操作员未戴护目镜切割金属,已现场纠正并记录
EV-20240501-014,2024-05-01 19:15:44,44,http://storage.example.com/frames/014.jpg,http://storage.example.com/videos/20240501_000014.mp4,车辆违规,车牌A12345在消防通道停车,车主为访客，已移车教育
EV-20240501-015,2024-05-01 19:20:44,45,http://storage.example.com/frames/015.jpg,http://storage.example.com/videos/20240501_000015.mp4,设备异常,3号电梯门反复开合,传感器故障，已停用报修
EV-20240501-016,2024-05-01 19:25:44,46,http://storage.example.com/frames/016.jpg,http://storage.example.com/videos/20240501_000016.mp4,火灾隐患,仓库发现烟头,系保洁人员违规吸烟
EV-20240501-017,2024-05-01 19:30:44,47,http://storage.example.com/frames/017.jpg,http://storage.example.com/videos/20240501_000017.mp4,人员聚集,南门5人争执推搡,促销活动排队纠纷
EV-20240501-018,2024-05-01 19:35:44,48,http://storage.example.com/frames/018.jpg,http://storage.example.com/videos/20240501_000018.mp4,动物闯入,野猫进入配电房,已驱离并封堵漏洞
EV-20240501-019,2024-05-01 19:40:44,49,http://storage.example.com/frames/019.jpg,http://storage.example.com/videos/20240501_000019.mp4,系统告警,门禁系统频繁误报,电源电压不稳导致
EV-20240501-020,2024-05-01 19:45:44,50,http://storage.example.com/frames/020.jpg,http://storage.example.com/videos/20240501_000020.mp4,照明故障,B区走廊灯常亮,感应器灵敏度需调整
EV-20240501-021,2024-05-01 19:50:44,51,http://storage.example.com/frames/021.jpg,http://storage.example.com/videos/20240501_000021.mp4,人员闯入,围栏东侧有1名未授权人员翻越,经核实为维修人员未佩戴标识
EV-20240501-022,2024-05-01 19:55:44,52,http://storage.example.com/frames/022.jpg,http://storage.example.com/videos/20240501_000022.mp4,物品遗留,大厅沙发遗留黑色背包,包内为笔记本电脑，已联系失主
EV-20240501-023,2024-05-01 20:00:44,53,http://storage.example.com/frames/023.jpg,http://storage.example.com/videos/20240501_000023.mp4,安全违规,操作员未戴护目镜切割金属,已现场纠正并记录
EV-20240501-024,2024-05-01 20:05:44,54,http://storage.example.com/frames/024.jpg,http://storage.example.com/videos/20240501_000024.mp4,车辆违规,车牌A12345在消防通道停车,车主为访客，已移车教育
EV-20240501-025,2024-05-01 20:10:44,55,http://storage.example.com/frames/025.jpg,http://storage.example.com/videos/20240501_000025.mp4,设备异常,3号电梯门反复开合,传感器故障，已停用报修
EV-20240501-026,2024-05-01 20:15:44,56,http://storage.example.com/frames/026.jpg,http://storage.example.com/videos/20240501_000026.mp4,火灾隐患,仓库发现烟头,系保洁人员违规吸烟
EV-20240501-027,2024-05-01 20:20:44,57,http://storage.example.com/frames/027.jpg,http://storage.example.com/videos/20240501_000027.mp4,人员聚集,南门5人争执推搡,促销活动排队纠纷
EV-20240501-028,2024-05-01 20:25:44,58,http://storage.example.com/frames/028.jpg,http://storage.example.com/videos/20240501_000028.mp4,动物闯入,野猫进入配电房,已驱离并封堵漏洞
EV-20240501-029,2024-05-01 20:30:44,59,http://storage.example.com/frames/029.jpg,http://storage.example.com/videos/20240501_000029.mp4,系统告警,门禁系统频繁误报,电源电压不稳导致
EV-20240501-030,2024-05-01 20:35:44,60,http://storage.example.com/frames/030.jpg,http://storage.example.com/videos/20240501_000030.mp4,照明故障,B区走廊灯常亮,感应器灵敏度需调整
EV-20240501-031,2024-05-01 20:40:44,61,http://storage.example.com/frames/031.jpg,http://storage.example.com/videos/20240501_000031.mp4,人员闯入,围栏东侧有1名未授权人员翻越,经核实为维修人员未佩戴标识
EV-20240501-032,2024-05-01 20:45:44,62,http://storage.example.com/frames/032.jpg,http://storage.example.com/videos/20240501_000032.mp4,物品遗留,大厅沙发遗留黑色背包,包内为笔记本电脑，已联系失主
EV-20240501-033,2024-05-01 20:50:44,63,http://storage.example.com/frames/033.jpg,http://storage.example.com/videos/20240501_000033.mp4,安全违规,操作员未戴护目镜切割金属,已现场纠正并记录
EV-20240501-034,2024-05-01 20:55:44,64,http://storage.example.com/frames/034.jpg,http://storage.example.com/videos/20240501_000034.mp4,车辆违规,车牌A12345在消防通道停车,车主为访客，已移车教育
EV-20240501-035,2024-05-01 21:00:44,65,http://storage.example.com/frames/035.jpg,http://storage.example.com/videos/20240501_000035.mp4,设备异常,3号电梯门反复开合,传感器故障，已停用报修
EV-20240501-036,2024-05-01 21:05:44,66,http://storage.example.com/frames/036.jpg,http://storage.example.com/videos/20240501_000036.mp4,火灾隐患,仓库发现烟头,系保洁人员违规吸烟
EV-20240501-037,2024-05-01 21:10:44,67,http://storage.example.com/frames/037.jpg,http://storage.example.com/videos/20240501_000037.mp4,人员聚集,南门5人争执推搡,促销活动排队纠纷
EV-20240501-038,2024-05-01 21:15:44,68,http://storage.example.com/frames/038.jpg,http://storage.example.com/videos/20240501_000038.mp4,动物闯入,野猫进入配电房,已驱离并封堵漏洞
EV-20240501-039,2024-05-01 21:20:44,69,http://storage.example.com/frames/039.jpg,http://storage.example.com/videos/20240501_000039.mp4,系统告警,门禁系统频繁误报,电源电压不稳导致
EV-20240501-040,2024-05-01 21:25:44,70,http://storage.example.com/frames/040.jpg,http://storage.example.com/videos/20240501_000040.mp4,照明故障,B区走廊灯常亮,感应器灵敏度需调整
EV-20240501-041,2024-05-01 21:30:44,71,http://storage.example.com/frames/041.jpg,http://storage.example.com/videos/20240501_000041.mp4,人员闯入,围栏东侧有1名未授权人员翻越,经核实为维修人员未佩戴标识
EV-20240501-042,2024-05-01 21:35:44,72,http://storage.example.com/frames/042.jpg,http://storage.example.com/videos/20240501_000042.mp4,物品遗留,大厅沙发遗留黑色背包,包内为笔记本电脑，已联系失主
EV-20240501-043,2024-05-01 21:40:44,73,http://storage.example.com/frames/043.jpg,http://storage.example.com/videos/20240501_000043.mp4,安全违规,操作员未戴护目镜切割金属,已现场纠正并记录
